,f5,f6,f1,f23,f33,f32,f24,f16,f13,difficulty,f10,f17,f12,f34,f29,f26,f25,f39,f38,f28
f5,1.0,0.005661499495349359,0.07504396543473572,-0.006486817152635297,-0.008245977047549188,-0.00850260689552035,-0.0032384308467998456,-0.0001727726672460917,-0.00014759029840203148,-0.02104175628751946,0.0011935411065114013,-0.00014584100497752427,-0.002847862184610814,-0.0061067585903178566,0.006911814058118611,-0.004835691346893731,-0.004891653545632697,-0.004887263574620792,-0.004967613933850567,0.008356156503809475
f6,0.005661499495349359,1.0,0.019522962992092902,-0.027251494863023706,0.003802231303083979,-0.031142794250398398,-0.012454964463428714,0.03941855735234303,0.040151219094725576,-0.025274455583651767,0.004910507792189542,0.006112151622961311,0.02237620939180398,0.021034055562274508,0.029517141959204712,-0.017842436038400203,-0.01773152020737484,-0.011573815289747475,-0.013351403014431319,-0.018909839565563354
f1,0.07504396543473572,0.019522962992092902,1.0,-0.07903778721751717,-0.07159408371173004,0.05350624881277031,-0.03984523000067726,0.09374672743032009,0.09462878607642304,-0.09561878760000142,0.0032396196100453714,0.05068345909997326,-0.06530002917436423,-0.07883263898627367,0.07676157962641587,-0.05471877171637338,-0.05391611151504665,-0.021102997570061784,-0.02503346499194085,0.1017809901884203
f23,-0.006486817152635297,-0.027251494863023706,-0.07903778721751717,1.0,-0.3571886184708656,0.4050307175818448,0.5281877030699428,-0.012375521046451584,-0.012949680632508778,0.09476295701508272,-0.060397584478181984,-0.013111776365581146,-0.5134714790374384,-0.4290260092082749,-0.5966985287009454,0.3143333459138393,0.31526853803502675,0.3240794712511002,0.3218579096535566,0.2730081483139867
f33,-0.008245977047549188,0.003802231303083979,-0.07159408371173004,-0.3571886184708656,1.0,-0.2074267257401025,0.21678361943512148,-0.018159066963277192,-0.01718834969545365,0.18002741385173288,-0.046195850076161636,-0.01810309741192115,0.6051180141386274,0.9005157867286095,0.7102025608167476,-0.44878449260130265,-0.45052216019285374,-0.4653912381721275,-0.4727055693420153,-0.3590493339170174
f32,-0.00850260689552035,-0.031142794250398398,0.05350624881277031,0.4050307175818448,-0.2074267257401025,1.0,0.14096351452346528,-0.019076786445518346,-0.018006147359733785,-0.016109698409467285,-0.008808243983811862,-0.006857389958637927,-0.35342414051348564,-0.42873876261996435,-0.43076878771932997,0.2799346063841661,0.2787789669016136,0.2904362084261159,0.2902459625680166,0.1829594036183915
f24,-0.0032384308467998456,-0.012454964463428714,-0.03984523000067726,0.5281877030699428,0.21678361943512148,0.14096351452346528,1.0,-0.006506604781147689,-0.006749291983344685,-0.03827373037710569,-0.030893860788447757,-0.006885583642197949,-0.19851237210499434,0.1994124518423486,0.17538921347021438,-0.10823072572575733,-0.10884043151361919,-0.11142192838388833,-0.1118337351663123,-0.11807141306264539
f16,-0.0001727726672460917,0.03941855735234303,0.09374672743032009,-0.012375521046451584,-0.018159066963277192,-0.019076786445518346,-0.006506604781147689,1.0,0.9980451725372664,-0.006834372311797332,0.005416932341442603,0.014067108282169753,0.021947623755254966,-0.012536123410715591,0.012985018831097693,-0.008619685065594974,-0.008699738889628559,-0.00506859948297567,-0.00542922567906721,-0.005823497698260334
f13,-0.00014759029840203148,0.040151219094725576,0.09462878607642304,-0.012949680632508778,-0.01718834969545365,-0.018006147359733785,-0.006749291983344685,0.9980451725372664,1.0,-0.008763605894673147,0.006906715730145727,0.01591924516059294,0.023054529909062805,-0.011430451393350333,0.013668330590638102,-0.00910777563960618,-0.009124614037258987,-0.005130599163853864,-0.005383517329586252,-0.00599087416762429
difficulty,-0.02104175628751946,-0.025274455583651767,-0.09561878760000142,0.09476295701508272,0.18002741385173288,-0.016109698409467285,-0.03827373037710569,-0.006834372311797332,-0.008763605894673147,1.0,-0.10000484461583713,-0.025672347219954216,0.18148766369382174,0.07880260959710186,-0.1149778436890215,0.09512993376218078,0.09585841980577725,0.1025870173520693,0.09711388807810815,-0.04314992349279048
f10,0.0011935411065114013,0.004910507792189542,0.0032396196100453714,-0.060397584478181984,-0.046195850076161636,-0.008808243983811862,-0.030893860788447757,0.005416932341442603,0.006906715730145727,-0.10000484461583713,1.0,0.2512706306929523,0.10603592693366198,-0.03300408784724865,0.061748285587121005,-0.044653993992224084,-0.04504030782949925,-0.044025745784314195,-0.041231823638039525,-0.03825170655921037
f17,-0.00014584100497752427,0.006112151622961311,0.05068345909997326,-0.013111776365581146,-0.01810309741192115,-0.006857389958637927,-0.006885583642197949,0.014067108282169753,0.01591924516059294,-0.025672347219954216,0.2512706306929523,1.0,0.023158918088041106,-0.017113170374529925,0.013253786118751219,-0.006299598333519581,-0.006496507705546782,-0.002705367072094453,0.001137805372339435,-0.007712790547943121
f12,-0.002847862184610814,0.02237620939180398,-0.06530002917436423,-0.5134714790374384,0.6051180141386274,-0.35342414051348564,-0.19851237210499434,0.021947623755254966,0.023054529909062805,0.18148766369382174,0.10603592693366198,0.023158918088041106,1.0,0.5889789341270433,0.5686630346925456,-0.408604265536562,-0.4097798052453599,-0.4127974118436991,-0.40791019342573753,-0.31193160583810264
f34,-0.0061067585903178566,0.021034055562274508,-0.07883263898627367,-0.4290260092082749,0.9005157867286095,-0.42873876261996435,0.1994124518423486,-0.012536123410715591,-0.011430451393350333,0.07880260959710186,-0.03300408784724865,-0.017113170374529925,0.5889789341270433,1.0,0.7935525070001438,-0.5032863096335196,-0.5053287097255148,-0.5200570573226048,-0.5290779760390234,-0.39918525025336254
f29,0.006911814058118611,0.029517141959204712,0.07676157962641587,-0.5966985287009454,0.7102025608167476,-0.43076878771932997,0.17538921347021438,0.012985018831097693,0.013668330590638102,-0.1149778436890215,0.061748285587121005,0.013253786118751219,0.5686630346925456,0.7935525070001438,1.0,-0.58917739238695,-0.5909005682921586,-0.6053311966987773,-0.604167860070622,-0.40300391618644416
f26,-0.004835691346893731,-0.017842436038400203,-0.05471877171637338,0.3143333459138393,-0.44878449260130265,0.2799346063841661,-0.10823072572575733,-0.008619685065594974,-0.00910777563960618,0.09512993376218078,-0.044653993992224084,-0.006299598333519581,-0.408604265536562,-0.5032863096335196,-0.58917739238695,1.0,0.9864233163192244,0.9686634323864401,0.9504452465706976,-0.22520377613611675
f25,-0.004891653545632697,-0.01773152020737484,-0.05391611151504665,0.31526853803502675,-0.45052216019285374,0.2787789669016136,-0.10884043151361919,-0.008699738889628559,-0.009124614037258987,0.09585841980577725,-0.04504030782949925,-0.006496507705546782,-0.4097798052453599,-0.5053287097255148,-0.5909005682921586,0.9864233163192244,1.0,0.9602600740599996,0.9601720550267342,-0.21288971546071792
f39,-0.004887263574620792,-0.011573815289747475,-0.021102997570061784,0.3240794712511002,-0.4653912381721275,0.2904362084261159,-0.11142192838388833,-0.00506859948297567,-0.005130599163853864,0.1025870173520693,-0.044025745784314195,-0.002705367072094453,-0.4127974118436991,-0.5200570573226048,-0.6053311966987773,0.9686634323864401,0.9602600740599996,1.0,0.975782397646641,-0.2254741526066607
f38,-0.004967613933850567,-0.013351403014431319,-0.02503346499194085,0.3218579096535566,-0.4727055693420153,0.2902459625680166,-0.1118337351663123,-0.00542922567906721,-0.005383517329586252,0.09711388807810815,-0.041231823638039525,0.001137805372339435,-0.40791019342573753,-0.5290779760390234,-0.604167860070622,0.9504452465706976,0.9601720550267342,0.975782397646641,1.0,-0.21499040203608935
f28,0.008356156503809475,-0.018909839565563354,0.1017809901884203,0.2730081483139867,-0.3590493339170174,0.1829594036183915,-0.11807141306264539,-0.005823497698260334,-0.00599087416762429,-0.04314992349279048,-0.03825170655921037,-0.007712790547943121,-0.31193160583810264,-0.39918525025336254,-0.40300391618644416,-0.22520377613611675,-0.21288971546071792,-0.2254741526066607,-0.21499040203608935,1.0
